Utterance,Expected,Predicted,Syntax_OK,Region_OK,Full_OK
Visit road_car1 before exit,(Precedence road_car1 exit),(Precedence road_car1 exit),1,1,1
exit can only occur after road_car1,(Precedence road_car1 exit),(Precedence road_car1 exit),1,1,1
"You must reach road_car1 first, then exit",(Precedence road_car1 exit),(Response road_car1 exit),1,1,0
exit only after road_car1,(Response road_car1 exit),(Response road_car1 exit),1,1,1
"After visiting road_car1, eventually reach exit",(Response road_car1 exit),(Response road_car1 exit),1,1,1
"If road_car1 happens, exit must follow",(Response road_car1 exit),(Response road_car1 exit),1,1,1
"If you visit road_car1, then you must also reach exit",(RespondedExistence road_car1 exit),(RespondedExistence road_car1 exit),1,1,1
Visiting road_car1 implies eventually visiting exit,(RespondedExistence road_car1 exit),(Response road_car1 exit),1,1,0
"Whenever road_car1 happens, exit must also occur",(RespondedExistence road_car1 exit),(RespondedExistence road_car1 exit),1,1,1
Stay in road_car1 until reaching exit,(Until road_car1 exit),(Until road_car1 exit),1,1,1
road_car1 must hold true until exit occurs,(Until road_car1 exit),(Until road_car1 exit),1,1,1
Remain in road_car1 and stop only when exit happens,(Until road_car1 exit),(Until road_car1 exit),1,1,1
Visit road_car1 or exit,(Or road_car1 exit),(Or road_car1 exit),1,1,1
Either road_car1 or exit must be reached,(Or road_car1 exit),(Or road_car1 exit),1,1,1
At least one of road_car1 or exit must occur,(Or road_car1 exit),(Or road_car1 exit),1,1,1
Visit road_car1 and exit,(And road_car1 exit),(And road_car1 exit),1,1,1
Both road_car1 and exit must be reached,(And road_car1 exit),(And road_car1 exit),1,1,1
You must eventually visit both road_car1 and exit,(And road_car1 exit),ERROR,1,0,0
"Stay in road_car1 unless exit happens, otherwise remain in road_car1 forever",(WeakUntil road_car1 exit),(WeakUntil road_car1 exit),1,1,1
"road_car1 must hold until exit, or forever if exit never occurs",(WeakUntil road_car1 exit),(WeakUntil road_car1 exit),1,1,1
"Continue in road_car1 until exit happens, or stay in road_car1 always if exit never does",(WeakUntil road_car1 exit),(WeakUntil road_car1 exit),1,1,1
Visit road_car1 before conflict_car2,(Precedence road_car1 conflict_car2),(Precedence road_car1 conflict_car2),1,1,1
conflict_car2 can only occur after road_car1,(Precedence road_car1 conflict_car2),(Precedence road_car1 conflict_car2),1,1,1
"You must reach road_car1 first, then conflict_car2",(Precedence road_car1 conflict_car2),(Precedence road_car1 conflict_car2),1,1,1
conflict_car2 only after road_car1,(Response road_car1 conflict_car2),(Precedence road_car1 conflict_car2),1,1,0
"After visiting road_car1, eventually reach conflict_car2",(Response road_car1 conflict_car2),(Response road_car1 conflict_car2),1,1,1
"If road_car1 happens, conflict_car2 must follow",(Response road_car1 conflict_car2),(Response road_car1 conflict_car2),1,1,1
"If you visit road_car1, then you must also reach conflict_car2",(RespondedExistence road_car1 conflict_car2),(RespondedExistence road_car1 conflict_car2),1,1,1
Visiting road_car1 implies eventually visiting conflict_car2,(RespondedExistence road_car1 conflict_car2),(Response road_car1 conflict_car2),1,1,0
"Whenever road_car1 happens, conflict_car2 must also occur",(RespondedExistence road_car1 conflict_car2),(RespondedExistence road_car1 conflict_car2),1,1,1
Stay in road_car1 until reaching conflict_car2,(Until road_car1 conflict_car2),(Until road_car1 conflict_car2),1,1,1
road_car1 must hold true until conflict_car2 occurs,(Until road_car1 conflict_car2),(Until road_car1 conflict_car2),1,1,1
Remain in road_car1 and stop only when conflict_car2 happens,(Until road_car1 conflict_car2),(Until road_car1 conflict_car2),1,1,1
Visit road_car1 or conflict_car2,(Or road_car1 conflict_car2),(Or road_car1 conflict_car2),1,1,1
Either road_car1 or conflict_car2 must be reached,(Or road_car1 conflict_car2),(Or road_car1 conflict_car2),1,1,1
At least one of road_car1 or conflict_car2 must occur,(Or road_car1 conflict_car2),(Or road_car1 conflict_car2),1,1,1
Visit road_car1 and conflict_car2,(And road_car1 conflict_car2),(And road_car1 conflict_car2),1,1,1
Both road_car1 and conflict_car2 must be reached,(And road_car1 conflict_car2),(And road_car1 conflict_car2),1,1,1
You must eventually visit both road_car1 and conflict_car2,(And road_car1 conflict_car2),ERROR,1,0,0
"Stay in road_car1 unless conflict_car2 happens, otherwise remain in road_car1 forever",(WeakUntil road_car1 conflict_car2),(WeakUntil road_car1 conflict_car2),1,1,1
"road_car1 must hold until conflict_car2, or forever if conflict_car2 never occurs",(WeakUntil road_car1 conflict_car2),(WeakUntil road_car1 conflict_car2),1,1,1
"Continue in road_car1 until conflict_car2 happens, or stay in road_car1 always if conflict_car2 never does",(WeakUntil road_car1 conflict_car2),(WeakUntil road_car1 conflict_car2),1,1,1
Visit road_car1 before road_car2,(Precedence road_car1 road_car2),(Precedence road_car1 road_car2),1,1,1
road_car2 can only occur after road_car1,(Precedence road_car1 road_car2),(Precedence road_car1 road_car2),1,1,1
"You must reach road_car1 first, then road_car2",(Precedence road_car1 road_car2),(Precedence road_car1 road_car2),1,1,1
road_car2 only after road_car1,(Response road_car1 road_car2),(Precedence road_car1 road_car2),1,1,0
"After visiting road_car1, eventually reach road_car2",(Response road_car1 road_car2),(Response road_car1 road_car2),1,1,1
"If road_car1 happens, road_car2 must follow",(Response road_car1 road_car2),(Response road_car1 road_car2),1,1,1
